{'level': 'SEVERE', 'message': 'https://muhasebedemo.rahatfatura.com.tr/definitions/items/items - Failed to load resource: the server responded with a status of 400 ()', 'source': 'network', 'timestamp': 1672923370123}
{'level': 'INFO', 'message': 'https://muhasebedemo.rahatfatura.com.tr/js/scripts/views/definitions/items/items/items.js 135:28 Object', 'source': 'console-api', 'timestamp': 1672923370125}
{'level': 'INFO', 'message': 'https://muhasebedemo.rahatfatura.com.tr/js/scripts/views/definitions/items/items/items.js 136:28 "{\\"clientVersion\\":\\"4.8.0\\"}"', 'source': 'console-api', 'timestamp': 1672923370125}
{'level': 'SEVERE', 'message': "https://muhasebedemo.rahatfatura.com.tr/vendors/js/extends.js 0:34 Uncaught TypeError: Cannot read properties of undefined (reading 'defaults')", 'source': 'javascript', 'timestamp': 1672923375315}
{'level': 'SEVERE', 'message': 'https://muhasebedemo.rahatfatura.com.tr/definitions/items/items - Failed to load resource: the server responded with a status of 400 ()', 'source': 'network', 'timestamp': 1672923849536}
{'level': 'INFO', 'message': 'https://muhasebedemo.rahatfatura.com.tr/js/scripts/views/definitions/items/items/items.js 135:28 Object', 'source': 'console-api', 'timestamp': 1672923849541}
{'level': 'INFO', 'message': 'https://muhasebedemo.rahatfatura.com.tr/js/scripts/views/definitions/items/items/items.js 136:28 "{\\"clientVersion\\":\\"4.8.0\\"}"', 'source': 'console-api', 'timestamp': 1672923849541}
{'level': 'SEVERE', 'message': "https://muhasebedemo.rahatfatura.com.tr/vendors/js/extends.js 0:34 Uncaught TypeError: Cannot read properties of undefined (reading 'defaults')", 'source': 'javascript', 'timestamp': 1672923854755}
{'level': 'SEVERE', 'message': 'https://muhasebedemo.rahatfatura.com.tr/definitions/items/items - Failed to load resource: the server responded with a status of 400 ()', 'source': 'network', 'timestamp': 1672923859813}
{'level': 'INFO', 'message': 'https://muhasebedemo.rahatfatura.com.tr/js/scripts/views/definitions/items/items/items.js 135:28 Object', 'source': 'console-api', 'timestamp': 1672923859815}
{'level': 'INFO', 'message': 'https://muhasebedemo.rahatfatura.com.tr/js/scripts/views/definitions/items/items/items.js 136:28 "{\\"clientVersion\\":\\"4.8.0\\"}"', 'source': 'console-api', 'timestamp': 1672923859816}
{'level': 'SEVERE', 'message': "https://muhasebedemo.rahatfatura.com.tr/vendors/js/extends.js 0:34 Uncaught TypeError: Cannot read properties of undefined (reading 'defaults')", 'source': 'javascript', 'timestamp': 1672923864975}
